tow; prn12; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518620.654; 24; 1331205.1709; 512596.59765625; -2768.6728515625; -2770.16; 1.48523; 0; 0; -0; -0; 0; -2624.36; -1959.75; -144.311; -145.796; 1.59349; 0.070784
518621.654; 24; 1331731.47461; 515366.2841796875; -2769.6865234375; -2765.74; -3.94186; 0; 0; -0; -0; 0; -2624.8; -1960.08; -144.885; -140.943; 0.846155; 0.0713055
518622.654; 24; 1332259.21777; 518136.56640625; -2770.2822265625; -2773.31; 3.02682; 0; 0; -0; -0; 0; -2625.24; -1960.41; -145.041; -148.068; 1.50539; 0.153371
518623.654; 24; 1332786.35059; 520907.830078125; -2771.263671875; -2770.1; -1.16205; 0; 0; -0; -0; 0; -2625.68; -1960.74; -145.583; -144.421; 1.01416; -0.116362
518624.654; 24; 1333313.56348; 523679.3115234375; -2771.4814453125; -2770.52; -0.959006; 0; 0; -0; -0; 0; -2626.12; -1961.06; -145.361; -144.402; 1.14988; 0.202289
518625.654; 24; 1333840.61133; 526451.712890625; -2772.4013671875; -2769.66; -2.74621; 0; 0; -0; -0; 0; -2626.56; -1961.39; -145.841; -143.095; 0.583323; 0.149403
518626.654; 24; 1334369.31543; 529224.1953125; -2772.482421875; -2778.36; 5.87638; 0; 0; -0; -0; 0; -2627; -1961.72; -145.483; -151.36; 1.63033; 0.0773079
518627.654; 24; 1334896.35645; 531997.2431640625; -2773.0478515625; -2769.62; -3.42862; 0; 0; -0; -0; 0; -2627.44; -1962.05; -145.609; -142.181; 0.917261; 0.0178847
518628.654; 24; 1335423.95605; 534770.705078125; -2773.4619140625; -2772.55; -0.907254; 0; 0; -0; -0; 0; -2627.88; -1962.38; -145.584; -144.677; 0.948476; 0.217889
518629.654; 24; 1335952.56738; 537544.5; -2773.794921875; -2777.87; 4.07636; 0; 0; -0; -0; 0; -2628.32; -1962.7; -145.478; -149.554; 1.6305; 0.123898
518630.654; 24; 1336479.50195; 540319.3193359375; -2774.8193359375; -2769.06; -5.75948; 0; 0; -0; -0; 0; -2628.76; -1963.03; -146.063; -140.304; 0.623879; 0.212248
518631.654; 24; 1337008.50781; 543094.125; -2774.8056640625; -2779.94; 5.13889; 0; 0; -0; -0; 0; -2629.19; -1963.36; -145.611; -150.75; 1.44086; 0.0505656
518632.654; 24; 1337536.27539; 545869.2060546875; -2775.0810546875; -2773.44; -1.64371; 0; 0; -0; -0; 0; -2629.63; -1963.69; -145.447; -143.803; 1.03719; -0.0428111
518633.654; 24; 1338064.94141; 548645.154296875; -2775.9482421875; -2778.16; 2.21042; 0; 0; -0; -0; 0; -2630.07; -1964.02; -145.875; -148.086; 1.65463; 0.153145
518634.654; 24; 1338592.09082; 551421.2841796875; -2776.1298828125; -2770.19; -5.94101; 0; 0; -0; -0; 0; -2630.51; -1964.34; -145.618; -139.677; 0.541346; 0.167455
518635.654; 24; 1339121.60254; 554197.9482421875; -2776.6640625; -2782.6; 5.9388; 0; 0; -0; -0; 0; -2630.95; -1964.67; -145.714; -151.652; 1.24596; -0.25998
518636.654; 24; 1339649.0293; 556975.05078125; -2777.1025390625; -2771.65; -5.45622; 0; 0; -0; -0; 0; -2631.39; -1965; -145.713; -140.257; 0.597663; 0.130359
518637.654; 24; 1340177.94922; 559752.337890625; -2777.287109375; -2779.49; 2.20584; 0; 0; -0; -0; 0; -2631.83; -1965.33; -145.459; -147.665; 1.08355; 0.196803
518638.654; 24; 1340706.12598; 562530.0068359375; -2777.6689453125; -2775.59; -2.08135; 0; 0; -0; -0; 0; -2632.27; -1965.65; -145.402; -143.321; 0.517588; 0.025002
518639.654; 24; 1341235.22949; 565307.90625; -2777.8994140625; -2780.46; 2.55833; 0; 0; -0; -0; 0; -2632.7; -1965.98; -145.194; -147.753; 0.895494; -0.0838489
518640.654; 24; 1341763.90234; 568086.10546875; -2778.19921875; -2778.19; -0.00463252; 0; 0; -0; -0; 0; -2633.14; -1966.31; -145.056; -145.051; 1.20422; 0.224948
518641.654; 24; 1342292.75195; 570864.8642578125; -2778.7587890625; -2779.12; 0.364666; 0; 0; -0; -0; 0; -2633.58; -1966.64; -145.177; -145.542; 1.00591; -0.0457726
518642.654; 24; 1342821.39746; 573644.751953125; -2779.8876953125; -2778.05; -1.8368; 0; 0; -0; -0; 0; -2634.02; -1966.96; -145.867; -144.031; 0.918516; 0.210941
518643.654; 24; 1343350.82227; 576424.4609375; -2779.708984375; -2782.15; 2.43714; 0; 0; -0; -0; 0; -2634.46; -1967.29; -145.25; -147.688; 1.36627; 0.196216
518644.654; 24; 1343879.61426; 579205.0458984375; -2780.5849609375; -2778.82; -1.76429; 0; 0; -0; -0; 0; -2634.9; -1967.62; -145.688; -143.924; 0.827106; -0.00737805
518645.654; 24; 1344408.7373; 581986.107421875; -2781.0615234375; -2780.56; -0.501145; 0; 0; -0; -0; 0; -2635.33; -1967.94; -145.727; -145.226; 0.808326; 0.0666431
518646.654; 24; 1344938.12012; 584767.5185546875; -2781.4111328125; -2781.93; 0.514323; 0; 0; -0; -0; 0; -2635.77; -1968.27; -145.638; -146.153; 1.07163; 0.231222
518647.654; 24; 1345467.50781; 587548.5029296875; -2780.984375; -2781.95; 0.96674; 0; 0; -0; -0; 0; -2636.21; -1968.6; -144.773; -145.74; 0.871123; -0.155229
518648.654; 24; 1345996.31738; 590330.0322265625; -2781.529296875; -2778.91; -2.61625; 0; 0; -0; -0; 0; -2636.65; -1968.93; -144.88; -142.264; 0.710764; 0.179907
518649.654; 24; 1346525.78906; 593111.9638671875; -2781.931640625; -2782.39; 0.460816; 0; 0; -0; -0; 0; -2637.09; -1969.25; -144.845; -145.306; 0.614871; -0.00243833
