tow; prn2; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph) 
518419.076; 6; -268732.90918; -709.8359375; 33.7239583542712; 38.2153; -4.49137; 0; 0; -0; -0; 0; 33.6688; 25.1423
518419.226; 6; -268733.984375; -714.880859375; 33.632812520882; 37.6679; -4.03512; 0; 0; -0; -0; 0; 33.5665; 25.0659
518419.376; 6; -268734.910156; -719.9091796875; 33.5221353854467; 32.4334; 1.08871; 0; 0; -0; -0; 0; 33.4641; 24.9895
518419.526; 6; -268735.860352; -724.9208984375; 33.4114583540779; 33.2887; 0.122725; 0; 0; -0; -0; 0; 33.3618; 24.913
518419.676; 6; -268736.811523; -729.9189453125; 33.320312468968; 33.3229; -0.00263377; 0; 0; -0; -0; 0; 33.2594; 24.8366
518419.826; 6; -268737.90625; -734.8994140625; 33.2031250206152; 38.3522; -5.14905; 0; 0; -0; -0; 0; 33.157; 24.7601
518419.976; 6; -268739.022461; -739.8681640625; 33.1250000205667; 39.1049; -5.97985; 0; 0; -0; -0; 0; 33.0546; 24.6837
518420.126; 6; -268740.118164; -744.8173828125; 32.9947916359379; 38.3864; -5.3916; 0; 0; -0; -0; 0; 32.9523; 24.6072
518420.276; 6; -268741.1875; -749.7548828125; 32.916666687104; 37.4627; -4.54599; 0; 0; -0; -0; 0; 32.8499; 24.5308
518420.426; 6; -268742.296875; -754.67578125; 32.8059895527804; 38.8654; -6.05938; 0; 0; -0; -0; 0; 32.7476; 24.4544
518420.576; 6; -268743.274414; -759.580078125; 32.6953125202999; 34.2467; -1.55137; 0; 0; -0; -0; 0; 32.6452; 24.3779
518420.726; 6; -268744.327148; -764.47265625; 32.6171875202514; 36.881; -4.26386; 0; 0; -0; -0; 0; 32.5428; 24.3015
518420.876; 6; -268745.439453; -769.345703125; 32.4869791364108; 38.968; -6.48102; 0; 0; -0; -0; 0; 32.4405; 24.225
518421.026; 6; -268746.444336; -774.20703125; 32.4088541867887; 35.2046; -2.79578; 0; 0; -0; -0; 0; 32.3381; 24.1486
518421.176; 6; -268747.288086; -779.05078125; 32.2916666365927; 29.5596; 2.73209; 0; 0; -0; -0; 0; 32.2357; 24.0721
518421.326; 6; -268748.094727; -783.8818359375; 32.2070312699968; 28.2595; 3.94753; 0; 0; -0; -0; 0; 32.1334; 23.9957
518421.476; 6; -268749.007812; -788.69140625; 32.0638021032412; 31.9887; 0.0751422; 0; 0; -0; -0; 0; 32.031; 23.9193
518421.626; 6; -268749.866211; -793.4912109375; 31.9986978868656; 30.0728; 1.92594; 0; 0; -0; -0; 0; 31.9286; 23.8428
518421.776; 6; -268750.698242; -798.27246093749988631; 31.8750000197898; 29.149; 2.72598; 0; 0; -0; -0; 0; 31.8263; 23.7664
518421.926; 6; -268751.484375; -803.0419921875; 31.7968749703876; 27.541; 4.25584; 0; 0; -0; -0; 0; 31.7239; 23.6899
518422.076; 6; -268752.228516; -807.7919921875; 31.6666666863279; 26.0699; 5.59676; 0; 0; -0; -0; 0; 31.6215; 23.6135
518422.226; 6; -268753.125; -812.529296875; 31.5820312696087; 31.407; 0.174983; 0; 0; -0; -0; 0; 31.5191; 23.537
518422.376; 6; -268753.929688; -817.25195312499988631; 31.4843749706771; 28.1911; 3.2933; 0; 0; -0; -0; 0; 31.4168; 23.4606
518422.526; 6; -268754.780273; -821.95605468749988631; 31.3606771028046; 29.7991; 1.56162; 0; 0; -0; -0; 0; 31.3144; 23.3841
518422.676; 6; -268755.645508; -826.64941406250011369; 31.2890624708613; 30.3122; 0.976814; 0; 0; -0; -0; 0; 31.2121; 23.3077
518422.826; 6; -268756.560547; -831.32226562500011369; 31.1523437693419; 32.0571; -0.904741; 0; 0; -0; -0; 0; 31.1097; 23.2313
518422.976; 6; -268757.458984; -835.9853515625; 31.0872396026341; 31.4755; -0.388233; 0; 0; -0; -0; 0; 31.0073; 23.1548
518423.126; 6; -268758.261719; -840.626953125; 30.9440103878478; 28.1227; 2.82136; 0; 0; -0; -0; 0; 30.905; 23.0784
518423.276; 6; -268759.163086; -845.2568359375; 30.8658854358307; 31.5781; -0.712225; 0; 0; -0; -0; 0; 30.8026; 23.0019
518423.426; 6; -268759.922852; -849.8701171875; 30.7552083046903; 26.6173; 4.13791; 0; 0; -0; -0; 0; 30.7002; 22.9255
518423.576; 6; -268760.820312; -854.46777343750011369; 30.6510416856981; 31.4413; -0.790219; 0; 0; -0; -0; 0; 30.5978; 22.849
518423.726; 6; -268761.769531; -859.05371093750011369; 30.5729166856488; 33.2545; -2.6816; 0; 0; -0; -0; 0; 30.4955; 22.7726
518423.876; 6; -268762.773438; -863.61914062499988631; 30.4361978883192; 35.1704; -4.73422; 0; 0; -0; -0; 0; 30.3931; 22.6962
518424.026; 6; -268763.549805; -868.17187500000011369; 30.3515625188462; 27.1989; 3.15265; 0; 0; -0; -0; 0; 30.2907; 22.6197
518424.176; 6; -268764.356445; -872.7099609375; 30.2539062218231; 28.2595; 1.99441; 0; 0; -0; -0; 0; 30.1884; 22.5433
518424.326; 6; -268764.911133; -877.232421875; 30.1497396020528; 19.4327; 10.7171; 0; 0; -0; -0; 0; 30.086; 22.4668
518424.476; 6; -268765.452148; -881.736328125; 30.0260416853093; 18.9537; 11.0723; 0; 0; -0; -0; 0; 29.9836; 22.3903
518424.626; 6; -268766.275391; -886.228515625; 29.9479166387755; 28.8411; 1.1068; 0; 0; -0; -0; 0; 29.8813; 22.3139
518424.776; 6; -268766.97168; -890.7021484375; 29.8242187685173; 24.3935; 5.43073; 0; 0; -0; -0; 0; 29.7789; 22.2375
518424.926; 6; -268767.805664; -895.1650390625; 29.7526041389574; 29.2174; 0.535154; 0; 0; -0; -0; 0; 29.6765; 22.161
518425.076; 6; -268768.669922; -899.611328125; 29.6419271017375; 30.278; -0.636109; 0; 0; -0; -0; 0; 29.5741; 22.0846
518425.226; 6; -268769.463867; -904.0380859375; 29.5117187683233; 27.8147; 1.69698; 0; 0; -0; -0; 0; 29.4717; 22.0081
518425.376; 6; -268770.132812; -908.4541015625; 29.4401041392484; 23.4355; 6.00456; 0; 0; -0; -0; 0; 29.3694; 21.9317
518425.526; 6; -268770.87207; -912.8525390625; 29.3229166848727; 25.8988; 3.42408; 0; 0; -0; -0; 0; 29.267; 21.8552
518425.676; 6; -268771.635742; -917.236328125; 29.2252603894485; 26.7542; 2.47111; 0; 0; -0; -0; 0; 29.1646; 21.7788
518425.826; 6; -268772.40332; -921.6044921875; 29.1210937680808; 26.891; 2.23009; 0; 0; -0; -0; 0; 29.0623; 21.7023
518425.976; 6; -268773.265625; -925.9560546875; 29.0104166846787; 30.2096; -1.19919; 0; 0; -0; -0; 0; 28.9598; 21.6258
518426.126; 6; -268774.265625; -930.29589843749988631; 28.9322916397206; 35.0336; -6.10128; 0; 0; -0; -0; 0; 28.8575; 21.5494
518426.276; 6; -268775.382812; -934.615234375; 28.7955729345461; 39.1391; -10.3435; 0; 0; -0; -0; 0; 28.7551; 21.473
518426.426; 6; -268776.15332; -938.923828125; 28.7239583065821; 26.9936; 1.73032; 0; 0; -0; -0; 0; 28.6528; 21.3966
518426.576; 6; -268777.035156; -943.21484375; 28.6067708510948; 30.8939; -2.28709; 0; 0; -0; -0; 0; 28.5504; 21.3201
518426.726; 6; -268777.950195; -947.49023437500011369; 28.5026041843642; 32.0571; -3.55448; 0; 0; -0; -0; 0; 28.4481; 21.2437
518426.876; 6; -268778.836914; -951.7509765625; 28.4049478902117; 31.0649; -2.65998; 0; 0; -0; -0; 0; 28.3456; 21.1672
518427.026; 6; -268779.774414; -955.9970703125; 28.3072916842421; 32.844; -4.53668; 0; 0; -0; -0; 0; 28.2433; 21.0908
518427.176; 6; -268780.849609; -960.2265625; 28.1966145570732; 37.6679; -9.47132; 0; 0; -0; -0; 0; 28.1409; 21.0143
518427.326; 6; -268781.911133; -964.44140625; 28.0989583507795; 37.189; -9.09; 0; 0; -0; -0; 0; 28.0385; 20.9379
518427.476; 6; -268782.879883; -968.63867187500011369; 27.9817708507075; 33.9388; -5.957; 0; 0; -0; -0; 0; 27.9362; 20.8614
518427.626; 6; -268783.748047; -972.8232421875; 27.8971353906847; 30.4149; -2.51775; 0; 0; -0; -0; 0; 27.8338; 20.7849
518427.776; 6; -268784.552734; -976.99121093750011369; 27.7864583505862; 28.1911; -0.404617; 0; 0; -0; -0; 0; 27.7314; 20.7085
518427.926; 6; -268785.237305; -981.14648437500011369; 27.7018228908673; 23.9829; 3.71888; 0; 0; -0; -0; 0; 27.629; 20.6321
518428.076; 6; -268786.027344; -985.283203125; 27.578125017122; 27.6779; -0.0997636; 0; 0; -0; -0; 0; 27.5266; 20.5556
518428.226; 6; -268786.673828; -989.40625; 27.4869791837328; 22.6487; 4.83832; 0; 0; -0; -0; 0; 27.4243; 20.4792
518428.376; 6; -268787.213867; -993.51367187500011369; 27.3828124744985; 18.9195; 8.46332; 0; 0; -0; -0; 0; 27.3219; 20.4027
518428.526; 6; -268787.796875; -997.60546875; 27.2786458502694; 20.4248; 6.8538; 0; 0; -0; -0; 0; 27.2196; 20.3264
518428.676; 6; -268788.463867; -1001.6806640625; 27.1679687246979; 23.3671; 3.80085; 0; 0; -0; -0; 0; 27.1171; 20.2498
