time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
518439.702001; 0.292368; 0.0312183; 2.7438; 0.842044; -0.0735673
518439.852001; 0.288981; 0.029455; 2.74384; 0.694233; -0.0589359
518440.002001; 0.283182; 0.0284073; 2.74388; 0.609211; -0.0911453
518440.152001; 0.278525; 0.0265627; 2.74393; 0.741506; -0.0859556
518440.302001; 0.273917; 0.0250085; 2.74397; 0.783272; -0.0890702
518440.452001; 0.269325; 0.0234882; 2.74402; 0.841968; -0.108281
518440.602001; 0.266361; 0.0214586; 2.74406; 0.857776; -0.0615331
518440.752001; 0.263613; 0.0193107; 2.7441; 0.922999; -0.0782256
518440.902001; 0.258518; 0.0176228; 2.74415; 0.981133; -0.090467
518441.052001; 0.254524; 0.0165775; 2.74419; 0.855472; -0.0823107
518441.202001; 0.250809; 0.0161539; 2.74424; 0.832683; -0.0713524
518441.352001; 0.247995; 0.0164808; 2.74428; 0.748215; -0.079128
518441.502001; 0.244675; 0.0167956; 2.74432; 0.654664; -0.0821608
518441.652001; 0.241126; 0.0164961; 2.74437; 0.580971; -0.089332
518441.802001; 0.237182; 0.0158621; 2.74441; 0.501498; -0.09965
518441.952001; 0.232415; 0.0151848; 2.74446; 0.700533; -0.0934653
518442.102001; 0.228581; 0.0147079; 2.7445; 0.658757; -0.0419872
518442.252001; 0.224263; 0.0151118; 2.74454; 1.18201; -0.0537598
518442.402001; 0.220799; 0.0163463; 2.74459; 1.07987; -0.0198246
518442.552001; 0.218963; 0.0181454; 2.74463; 1.0406; 0.0381507
518442.702001; 0.217385; 0.0204042; 2.74468; 1.28968; -0.0171346
518442.852001; 0.215889; 0.0233459; 2.74472; 1.39314; 0.0174327
518443.002001; 0.219327; 0.0250939; 2.74476; -0.863906; 0.0886414
518443.152001; 0.222311; 0.0275028; 2.74481; -0.897104; 0.0808919
518443.302001; 0.225396; 0.0302431; 2.74485; -0.931883; 0.0596228
518443.452001; 0.228982; 0.0324463; 2.7449; -0.881432; 0.0831315
518443.602001; 0.232575; 0.0346083; 2.74494; -0.893136; 0.0813779
518443.752001; 0.236502; 0.0361663; 2.74498; -0.77308; 0.086381
518443.902001; 0.238896; 0.0380379; 2.74503; -0.664843; 0.0649014
518444.052001; 0.239788; 0.0400609; 2.74507; 0.548795; 0.0798353
518444.202001; 0.238825; 0.042088; 2.74512; 0.913573; 0.0566116
518444.352001; 0.238335; 0.0436669; 2.74516; 0.729413; 0.0537308
518444.502001; 0.236154; 0.0438431; 2.7452; 0.443475; 0.0378918
518444.652001; 0.23368; 0.0436143; 2.74525; 0.386019; -0.0318789
518444.802001; 0.23227; 0.0423913; 2.74529; 0.270965; -0.0246156
518444.952001; 0.230756; 0.0416881; 2.74534; -0.171413; -0.0345008
518445.102001; 0.227873; 0.04078; 2.74538; 0.473507; -0.0247503
518445.252001; 0.222937; 0.0404293; 2.74542; 0.638415; -0.0472661
518445.402001; 0.218885; 0.0401771; 2.74547; 0.606329; -0.0672907
518445.552001; 0.214834; 0.0394746; 2.74551; 0.425268; -0.0475193
518445.702001; 0.212206; 0.0380588; 2.74556; -0.379989; -0.0403644
518445.852001; 0.210652; 0.0358207; 2.7456; -0.491248; -0.0531318
518446.002001; 0.209531; 0.0334666; 2.74564; -0.654142; -0.0674748
518446.152001; 0.206473; 0.0309486; 2.74569; 0.760772; -0.101234
518446.302001; 0.201877; 0.0284453; 2.74573; 0.820028; -0.124406
518446.452001; 0.19844; 0.0257117; 2.74578; 0.780733; -0.139895
518446.602001; 0.194646; 0.0231349; 2.74582; 0.832072; -0.145506
518446.752001; 0.191468; 0.0207231; 2.74586; 0.856205; -0.134353
518446.902001; 0.190179; 0.0189862; 2.74591; 0.764854; -0.129168
518447.052001; 0.189123; 0.017713; 2.74595; 0.634698; -0.113791
518447.202001; 0.188258; 0.016552; 2.746; 0.497133; -0.0895601
518447.352001; 0.187534; 0.0149816; 2.74604; 0.398272; -0.0748407
518447.502001; 0.187398; 0.0130074; 2.74608; -0.561303; -0.0786354
518447.652001; 0.184627; 0.0118895; 2.74613; 0.301979; -0.0831218
518447.802001; 0.181929; 0.0116476; 2.74617; 0.622913; -0.0890267
518447.952001; 0.180524; 0.0111918; 2.74621; 0.270561; -0.0725272
518448.102001; 0.179413; 0.0106516; 2.74626; -0.34248; -0.0547224
518448.252001; 0.177333; 0.0104964; 2.7463; 0.392292; -0.0358032
518448.402001; 0.175435; 0.0104493; 2.74635; 0.297454; -0.0419756
518448.552001; 0.174025; 0.0102663; 2.74639; 0.318267; -0.0441122
518448.702001; 0.17387; 0.00950434; 2.74643; -0.247438; -0.0198143
518448.852001; 0.174293; 0.00922909; 2.74648; -0.309751; -0.0207667
518449.002001; 0.17517; 0.00899452; 2.74652; -0.537016; 0.0311218
518449.152001; 0.175706; 0.00892541; 2.74657; -0.495798; -0.0392682
518449.302001; 0.174679; 0.00925653; 2.74661; 0.562298; -0.0605695
518449.452001; 0.172864; 0.0101375; 2.74665; 0.683287; -0.0417416
518449.602001; 0.172212; 0.0113236; 2.7467; 0.563185; -0.03149
518449.752001; 0.171179; 0.0125977; 2.74674; 0.473114; 0.0296082
518449.902001; 0.170364; 0.013653; 2.74679; 0.437848; 0.0211764
