tm; prn; seq_fract; phase
116830; 14; 0.381803826429; 249362.624023
116830; 25; 0.988685175544; 186887.3125
117830; 12; 0.751170898788; 365482.455078
117830; 24; 0.128070445498; 600142.259766
117830; 14; 0.380789297866; 252309.766602
117830; 25; 0.98910798179; 187535.639648
118830; 12; 0.750008815667; 368626.655273
118830; 24; 0.125508736353; 605493.723633
118830; 14; 0.379746107152; 255257.364258
118830; 25; 0.989537343383; 188184.097656
119830; 12; 0.748850834323; 371770.049805
119830; 24; 0.122949346201; 610844.374023
119830; 14; 0.378707350697; 258204.362305
119830; 25; 0.989945720416; 188831.624023
120830; 12; 0.747682104586; 374916.567383
120830; 24; 0.120377664454; 616198.146484
120830; 14; 0.377668233356; 261154.696289
120830; 25; 0.990370387211; 189482.174805
121830; 12; 0.746525126044; 378064.269531
121830; 24; 0.117807108676; 621553.113281
121830; 14; 0.376633379143; 264106.430664
121830; 25; 0.990789326141; 190133.801758
122830; 12; 0.745368394768; 381212.117188
122830; 24; 0.115249894327; 626908.21582
122830; 14; 0.375582264271; 267058.515625
122830; 25; 0.991217161529; 190785.456055
123830; 12; 0.744196531363; 384359.974609
123830; 24; 0.112684833119; 632263.329102
123830; 14; 0.374550977023; 270010.821289
123830; 25; 0.991637431318; 191437.013672
124830; 12; 0.743035777938; 387511.763672
124830; 24; 0.110123979161; 637622.378906
124830; 14; 0.373503621435; 272967.270508
124830; 25; 0.992049350403; 192092.384766
125830; 12; 0.741861398797; 390663.824219
125830; 24; 0.107557612238; 642981.691406
125830; 14; 0.372459833045; 275924.18457
125830; 25; 0.992477935506; 192747.913086
126830; 12; 0.740692568477; 393816.651367
126830; 24; 0.104970694054; 648341.774414
126830; 14; 0.371412378736; 278882.102539
126830; 25; 0.992895740783; 193404.097656
127830; 12; 0.739524191478; 396967.897461
127830; 24; 0.102412170963; 653700.274414
127830; 14; 0.370380825363; 281838.640625
127830; 25; 0.99330930179; 194058.608398
128830; 12; 0.738360885996; 400120.151367
128830; 24; 0.0998438459355; 659059.780273
128830; 14; 0.369328094414; 284796.404297
128830; 25; 0.99371497985; 194713.993164
129830; 12; 0.737187504768; 403272.325195
129830; 24; 0.0972793460824; 664419.202148
129830; 14; 0.368284684606; 287754.283203
129830; 25; 0.994145058328; 195369.197266
130830; 12; 0.736025843536; 406424.240234
130830; 24; 0.09470359236; 669778.366211
130830; 14; 0.367229677737; 290712.119141
130830; 25; 0.99455924239; 196024.026367
131830; 12; 0.73485520645; 409576.527344
131830; 24; 0.0921432452742; 675137.902344
131830; 14; 0.366206146777; 293670.547852
131830; 25; 0.99497282505; 196679.126953
132830; 12; 0.733690916561; 412730.499023
132830; 24; 0.0895693155471; 680499.128906
132830; 14; 0.365149393445; 296630.869141
132830; 25; 0.995387244038; 197335.790039
133830; 12; 0.732518476201; 415882.978516
133830; 24; 0.0870057069696; 685858.841797
133830; 14; 0.364104317501; 299589.901367
133830; 25; 0.995809017913; 197990.838867
134830; 12; 0.731350593502; 419037.374023
134830; 24; 0.084438275313; 691220.487305
134830; 14; 0.363059869735; 302551.068359
134830; 25; 0.996228182921; 198647.717773
135830; 12; 0.730186343193; 422191.314453
135830; 24; 0.0818604631349; 696581.666992
135830; 14; 0.362012380734; 305511.978516
135830; 25; 0.996660772944; 199304.022461
136830; 12; 0.729014658835; 425346.199219
136830; 24; 0.0792886484414; 701943.791016
