prog start
hv ver: 3.4
F_SAMPLE = 222111
   idx;  inp_i;  inp_q;  out_i;  out_q;   ref_i; ref_q;     ok
   310;     -1;     -3;      5;      5;      5;      5;      1 
   311;     -1;     -3;      5;      5;      5;      5;      1 
   312;     -1;     -3;      5;      5;      5;      5;      1 
   313;     -1;     -3;      5;      5;      5;      5;      1 
   314;     -1;     -3;      5;      5;      5;      5;      1 
   315;     -1;     -3;      5;      5;      5;      5;      1 
   316;     -1;     -3;      5;      5;      5;      5;      1 
   317;     -1;     -3;      5;      5;      5;      5;      1 
   318;     -1;     -3;      5;      5;      5;      5;      1 
   319;     -1;     -3;      5;      5;      5;      5;      1 
   320;     -1;     -3;      5;      5;      5;      5;      1 
   321;     -1;     -3;      5;      5;      5;      5;      1 
   322;     -1;     -3;      5;      5;      5;      5;      1 
   323;     -1;     -3;      5;      5;      5;      5;      1 
   324;     -1;     -3;      5;      5;      5;      5;      1 
   325;     -1;     -3;      5;      5;      5;      5;      1 
   326;     -1;     -3;      5;      5;      5;      5;      1 
   327;     -1;     -3;      5;      5;      5;      5;      1 
   328;     -1;     -3;      5;      5;      5;      5;      1 
   329;     -1;     -3;      5;      5;      5;      5;      1 
   330;     -1;     -3;      5;      5;      5;      5;      1 
   331;     -1;     -3;      5;      5;      5;      5;      1 
   332;     -1;     -3;      5;      5;      5;      5;      1 
   333;     -1;     -3;      5;      5;      5;      5;      1 
   334;     -3;     -1;      7;     -1;      5;      5;      0 
   335;     -3;     -1;      5;      5;      5;      5;      1 
   336;     -3;     -1;      5;      5;      5;      5;      1 
   337;     -3;     -1;      5;      5;      5;      5;      1 
   338;     -3;     -1;      5;      5;      5;      5;      1 
   339;     -3;     -1;      5;      5;      5;      5;      1 
   340;     -3;     -1;      5;      5;      5;      5;      1 
   341;     -3;     -1;      5;      5;      5;      5;      1 
   342;     -3;     -1;      5;      5;      5;      5;      1 
   343;     -3;     -1;      5;      5;      5;      5;      1 
   344;     -3;     -1;      5;      5;      5;      5;      1 
   345;     -3;     -1;      5;      5;      5;      5;      1 
   346;     -3;     -1;      5;      5;      5;      5;      1 
   347;     -3;     -1;      5;      5;      5;      5;      1 
   348;     -3;     -1;      5;      5;      5;      5;      1 
   349;     -3;     -1;      5;      5;      5;      5;      1 
   350;     -3;     -1;      5;      5;      5;      5;      1 
   351;     -3;     -1;      5;      5;      5;      5;      1 
   352;     -3;     -1;      5;      5;      5;      5;      1 
   353;     -3;     -1;      5;      5;      5;      5;      1 
   354;     -3;     -1;      5;      5;      5;      5;      1 
   355;     -3;     -1;      5;      5;      5;      5;      1 
   356;     -3;     -1;      5;      5;      5;      5;      1 
   357;     -3;     -1;      5;      5;      5;      5;      1 
   358;     -3;     -1;      5;      5;      5;      5;      1 
   359;     -3;     -1;      5;      5;      5;      5;      1 
   360;     -3;     -1;      5;      5;      5;      5;      1 
   361;     -3;     -1;      5;      5;      5;      5;      1 
   362;     -3;     -1;      5;      5;      5;      5;      1 
   363;     -3;     -1;      5;      5;      5;      5;      1 
   364;     -3;     -1;      5;      5;      5;      5;      1 
   365;     -3;     -1;      5;      5;      5;      5;      1 
   366;     -3;     -1;      5;      5;      5;      5;      1 
   367;     -3;     -1;      5;      5;      5;      5;      1 
   368;     -3;     -1;      5;      5;      5;      5;      1 
   369;     -3;     -1;      5;      5;      5;      5;      1 
   370;     -3;     -1;      5;      5;      5;      5;      1 
   371;     -3;     -1;      5;      5;      5;      5;      1 
   372;     -3;     -1;      5;      5;      5;      5;      1 
   373;     -3;     -1;      5;      5;      5;      5;      1 
   374;     -3;     -1;      5;      5;      5;      5;      1 
   375;     -3;     -1;      5;      5;      5;      5;      1 
   376;     -3;     -1;      5;      5;      5;      5;      1 
   377;     -3;     -1;      5;      5;      5;      5;      1 
   378;     -3;     -1;      5;      5;      5;      5;      1 
   379;     -3;     -1;      5;      5;      5;      5;      1 
   380;     -3;     -1;      5;      5;      5;      5;      1 
   381;     -3;     -1;      5;      5;      5;      5;      1 
   382;     -3;     -1;      5;      5;      5;      5;      1 
   383;     -3;     -1;      5;      5;      5;      5;      1 
   384;     -3;     -1;      5;      5;      5;      5;      1 
   385;     -3;     -1;      5;      5;      5;      5;      1 
   386;     -3;     -1;      5;      5;      5;      5;      1 
   387;     -3;     -1;      5;      5;      5;      5;      1 
   388;     -3;     -1;      5;      5;      5;      5;      1 
   389;     -3;     -1;      5;      5;      5;      5;      1 
   390;     -3;     -1;      5;      5;      5;      5;      1 
   391;     -3;     -1;      5;      5;      5;      5;      1 
   392;     -3;     -1;      5;      5;      5;      5;      1 
   393;     -3;     -1;      5;      5;      5;      5;      1 
   394;     -3;     -1;      5;      5;      5;      5;      1 
   395;     -3;     -1;      5;      5;      5;      5;      1 
   396;     -3;     -1;      5;      5;      5;      5;      1 
