----------------
prog start
hv ver: 3.13
accu test 
	 code_len = 1023, chip_div = 2, spacing_len = 1, pcode[0] = 0x23C495A7 
	 code_ctrl = 0x040003FE
  |    37   |   1   |   0  1  0  1  0   |   -117  -109     3    11    43    51    33    41   -17    -9   |   0   ||    17  |   0  0  0  1  1   |     10   -40  -110    30   200   |   0   |  ERR
  |    38   |   1   |   1  0  1  0  1   |   -122  -114     8    16    38    46    38    46   -22   -14   |   0   ||    17  |   0  0  0  0  1   |      5   -45  -115    35   205   |   0   |  ERR
  |    38   |   1   |   1  0  1  0  1   |   -117  -109     3    11    43    51    33    41   -17    -9   |   0   ||    17  |   0  0  0  0  1   |      0   -50  -120    30   210   |   0   |  ERR
  |    39   |   0   |   1  1  0  1  0   |   -112  -104    -2     6    48    56    28    36   -12    -4   |   0   ||    17  |   0  0  0  0  1   |     -5   -55  -125    25   215   |   0   |  ERR
  |    39   |   0   |   1  1  0  1  0   |   -107   -99     3    11    43    51    33    41   -17    -9   |   0   ||    18  |   1  0  0  0  0   |    -10   -60  -130    20   220   |   0   |  ERR
  |    39   |   0   |   1  1  0  1  0   |   -102   -94     8    16    38    46    38    46   -22   -14   |   0   ||    18  |   1  0  0  0  0   |     -5   -65  -135    15   215   |   0   |  ERR
  |    40   |   1   |   0  1  1  0  1   |    -97   -89    13    21    33    41    43    51   -27   -19   |   0   ||    18  |   1  1  0  0  0   |      0   -70  -140    10   210   |   0   |  ERR
  |    40   |   1   |   0  1  1  0  1   |   -102   -94    18    26    38    46    38    46   -22   -14   |   0   ||    18  |   1  1  0  0  0   |      5   -65  -145     5   205   |   0   |  ERR
  |    41   |   0   |   1  0  1  1  0   |   -107   -99    23    31    43    51    33    41   -17    -9   |   0   ||    19  |   0  1  1  0  0   |     10   -60  -150     0   200   |   0   |  ERR
  |    41   |   0   |   1  0  1  1  0   |   -102   -94    18    26    48    56    38    46   -22   -14   |   0   ||    19  |   0  1  1  0  0   |      5   -55  -145    -5   195   |   0   |  ERR
  |    42   |   1   |   0  1  0  1  1   |    -97   -89    13    21    53    61    43    51   -27   -19   |   0   ||    19  |   0  0  1  1  0   |      0   -50  -140   -10   190   |   0   |  ERR
  |    42   |   1   |   0  1  0  1  1   |   -102   -94    18    26    48    56    48    56   -22   -14   |   0   ||    19  |   0  0  1  1  0   |     -5   -55  -135    -5   185   |   0   |  ERR
  |    43   |   1   |   1  0  1  0  1   |    -97   -89    13    21    53    61    43    51   -27   -19   |   0   ||    20  |   0  0  0  1  1   |    -10   -60  -130     0   180   |   0   |  ERR
  |    43   |   1   |   1  0  1  0  1   |   -102   -94    18    26    48    56    48    56   -32   -24   |   0   ||    20  |   0  0  0  1  1   |     -5   -55  -125    -5   175   |   0   |  ERR
  |    44   |   0   |   1  1  0  1  0   |   -107   -99    23    31    43    51    53    61   -37   -29   |   0   ||    20  |   0  0  0  0  1   |      0   -50  -120   -10   170   |   0   |  ERR
  |    44   |   0   |   1  1  0  1  0   |   -112  -104    18    26    48    56    48    56   -32   -24   |   0   ||    20  |   0  0  0  0  1   |      5   -45  -115    -5   165   |   0   |  ERR
  |    45   |   1   |   0  1  1  0  1   |   -117  -109    13    21    53    61    43    51   -27   -19   |   0   ||    21  |   0  0  0  0  0   |     10   -40  -110     0   160   |   0   |  ERR
  |    45   |   1   |   0  1  1  0  1   |   -112  -104     8    16    48    56    48    56   -32   -24   |   0   ||    21  |   0  0  0  0  0   |     15   -35  -105     5   165   |   0   |  ERR
  |    46   |   0   |   1  0  1  1  0   |   -107   -99     3    11    43    51    53    61   -37   -29   |   0   ||    21  |   0  0  0  0  0   |     20   -30  -100    10   170   |   0   |  ERR
  |    46   |   0   |   1  0  1  1  0   |   -112  -104     8    16    38    46    48    56   -32   -24   |   0   ||    21  |   0  0  0  0  0   |     25   -25   -95    15   175   |   0   |  ERR
  |    46   |   0   |   1  0  1  1  0   |   -117  -109    13    21    33    41    43    51   -27   -19   |   0   ||    21  |   0  0  0  0  0   |     30   -20   -90    20   180   |   0   |  ERR
  |    47   |   1   |   0  1  0  1  1   |   -122  -114    18    26    28    36    38    46   -22   -14   |   0   ||    22  |   1  0  0  0  0   |     35   -15   -85    25   185   |   0   |  ERR
  |    47   |   1   |   0  1  0  1  1   |   -117  -109    13    21    33    41    33    41   -27   -19   |   0   ||    22  |   1  0  0  0  0   |     30   -10   -80    30   190   |   0   |  ERR
  |    48   |   0   |   1  0  1  0  1   |   -112  -104     8    16    38    46    28    36   -32   -24   |   0   ||    22  |   1  1  0  0  0   |     25    -5   -75    35   195   |   0   |  ERR
  |    48   |   0   |   1  0  1  0  1   |   -117  -109    13    21    33    41    33    41   -37   -29   |   0   ||    22  |   1  1  0  0  0   |     20   -10   -70    40   200   |   0   |  ERR
  |    49   |   0   |   0  1  0  1  0   |   -122  -114    18    26    28    36    38    46   -42   -34   |   0   ||    23  |   1  1  1  0  0   |     15   -15   -65    45   205   |   0   |  ERR
  |    49   |   0   |   0  1  0  1  0   |   -117  -109    13    21    33    41    33    41   -37   -29   |   0   ||    23  |   1  1  1  0  0   |     10   -20   -70    50   210   |   0   |  ERR
  |    50   |   0   |   0  0  1  0  1   |   -112  -104     8    16    38    46    28    36   -32   -24   |   0   ||    23  |   1  1  1  1  0   |      5   -25   -75    55   215   |   0   |  ERR
  |    50   |   0   |   0  0  1  0  1   |   -107   -99    13    21    33    41    33    41   -37   -29   |   0   ||    23  |   1  1  1  1  0   |      0   -30   -80    50   220   |   0   |  ERR
  |    51   |   0   |   0  0  0  1  0   |   -112  -104     8    16    38    46    28    36   -32   -24   |   0   ||    24  |   1  1  1  1  1   |     -5   -35   -85    45   225   |   0   |  ERR
